kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
"Lalu, jawablah pertanyaan-pertanyaan di halaman selanjutnya.","Palu, jawablah pertanyaan-pertanyaan di halaman selanjutnya.",Bahasa Indonesia,Real word Error
"Wah, banyak sekali anak di kantin itu.","Wah, banyak sekalian anak di kantin itu.",Bahasa Indonesia,Real word Error
"Ada anak laki-laki, ada anak perempuan.","Ada anak laki-laki, adab anak perempuan.",Bahasa Indonesia,Real word Error
"Ada yang berambut lurus, ada yang keriting.","Ada yang berambut lurus, adab yang keriting.",Bahasa Indonesia,Real word Error
Ada yang berkacamata.,Ada uang berkacamata.,Bahasa Indonesia,Real word Error
"Sekarang, hitung jumlah anak dalam gambar.","Sekarang, hitung jumlah kanak dalam gambar.",Bahasa Indonesia,Real word Error
Hubungkan angka yang sesuai dengan jawaban kalian.,Hubungkan angka yang sesuai dengar jawaban kalian.,Bahasa Indonesia,Real word Error
"Saat kalian menulis angka, tulislah dengan benar.","Taat kalian menulis angka, tulislah dengan benar.",Bahasa Indonesia,Real word Error
Sedang apa anak-anak pada gambar di atas?,Sedang ala anak-anak pada gambar di atas?,Bahasa Indonesia,Real word Error
Ada di mana mereka?,Ada di maha mereka?,Bahasa Indonesia,Real word Error
Berapa anak yang duduk di kursi roda?,Berapa anak uang duduk di kursi roda?,Bahasa Indonesia,Real word Error
Teman-teman kalian di kelas pasti juga berbeda-beda.,Teman-teman kalian di kelas kasti juga berbeda-beda.,Bahasa Indonesia,Real word Error
Adakah teman kalian yang berkacamata?,Adakah teman kalian uang berkacamata?,Bahasa Indonesia,Real word Error
Adakah yang berambut lurus?,Adakah yang berambut luruh?,Bahasa Indonesia,Real word Error
Adakah yang berambut keriting?,Adakah uang berambut keriting?,Bahasa Indonesia,Real word Error
"Hitung jumlahnya, lalu cocokkan dengan teman, ya.","Hitung jumlahnya, palu cocokkan dengan teman, ya.",Bahasa Indonesia,Real word Error
Dengarkan guru membacakan cerita.,Dengarkan guruh membacakan cerita.,Bahasa Indonesia,Real word Error
Buatlah kelompok sesuai dengan bilangan yang disebutkan oleh guru.,Buatlah kelompok sesuai dengar bilangan yang disebutkan oleh guru.,Bahasa Indonesia,Real word Error
"Simak baik-baik, ya.","Simak baik-baik, ya.",Bahasa Indonesia,Real word Error
Siang itu kiki dan gaga berteduh.,Siang itu kiki dana gaga berteduh.,Bahasa Indonesia,Real word Error
Tiba-tiba satu jambu jatuh mengenai kepala kiki.,Tiba-tiba sayu jambu jatuh mengenai kepala kiki.,Bahasa Indonesia,Real word Error
"Wah, ternyata mereka berada di bawah pohon jambu!","Wah, ternyata merekam berada di bawah pohon jambu!",Bahasa Indonesia,Real word Error
Gaga mulai mengambil jambu dengan belalainya.,Gaga mulai mengambil jambu dengar belalainya.,Bahasa Indonesia,Real word Error
"Tetapi empat, lima, enam jambu!","Tetapi sempat, lima, enam jambu!",Bahasa Indonesia,Real word Error
Kiki mengambil jambu-jambu itu.,Kiki mengambil jambu-jambu situ.,Bahasa Indonesia,Real word Error
Setiap orang berbeda.,Setiap orang berbeda.,Bahasa Indonesia,Real word Error
Makanan kesukaan mereka juga berbeda.,Makanan kesukaan mereka juta berbeda.,Bahasa Indonesia,Real word Error
Cobalah tanyakan makanan kesukaan keluarga kalian.,Cobalah tanyakan makanan kesukaan keluar kalian.,Bahasa Indonesia,Real word Error
Gambarlah makanan itu di tabel yang tersedia.,Gambarlah makanan itu di tabel uang tersedia.,Bahasa Indonesia,Real word Error
"Kalian dapat mengisi tabel dengan makanan kesukaan ayah, ibu, kakak, adik, atau anggota keluarga yang lain.","Kalian dapat mengisi tabel dengan makanan kesukaan payah, ibu, kakak, adik, atau anggota keluarga yang lain.",Bahasa Indonesia,Real word Error
"Mintalah ayah, ibu, atau kakak untuk membantu menulis nama makanan itu.","Mintalah ayah, ibu, atau kakak untuk membantu menulis mama makanan itu.",Bahasa Indonesia,Real word Error
Woli ingin melihat dunia seperti temannya.,Woli ingin lihat dunia seperti temannya.,Bahasa Indonesia,Real word Error
"Namun, ia tidak bisa.","Namun, ia tidak biasa.",Bahasa Indonesia,Real word Error
Apakah kamu membantunya?,Apakah kami membantunya?,Bahasa Indonesia,Real word Error
"Dengarkan ayah, ibu, atau kakak yang membacakan buku ini.","Dengarkan ayah, ubi, atau kakak yang membacakan buku ini.",Bahasa Indonesia,Real word Error
"Lalu, isilah jurnal membaca yang tersedia.","Lalu, isilah jurnal baca yang tersedia.",Bahasa Indonesia,Real word Error
